['so-called', 'VBN']     ['so-called', 'JJ']
['Conceivably', 'NNP']     ['Conceivably', 'RB']
['scaled-back', 'NN']     ['scaled-back', 'JJ']
['to', 'IN']     ['to', 'TO']
['Products', 'NNPS']     ['Products', 'NNP']
['concern', 'NN']     ['concern', 'VBP']
['US', 'NNP']     ['US', 'PRP']
['Facilities', 'NNPS']     ['Facilities', 'NNP']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['future', 'JJ']     ['future', 'NN']
['US', 'NNP']     ['US', 'PRP']
['to', 'IN']     ['to', 'TO']
['US', 'NNP']     ['US', 'PRP']
['US', 'NNP']     ['US', 'PRP']
['US', 'NNP']     ['US', 'PRP']
['over-the-counter', 'NN']     ['over-the-counter', 'JJ']
['US', 'NNP']     ['US', 'PRP']
['Warner-Lambert', 'NN']     ['Warner-Lambert', 'NNP']
['Co', 'NN']     ['Co', 'NNP']
['earlier', 'JJR']     ['earlier', 'RBR']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['established', 'VBD']     ['established', 'VBN']
['human', 'JJ']     ['human', 'NN']
['animal-health', 'JJ']     ['animal-health', 'NN']
['up', 'RP']     ['up', 'IN']
['Warner-Lambert', '.']     ['Warner-Lambert', 'NNP']
['Co', 'NN']     ['Co', 'NNP']
['Warner-Lambert', 'JJ']     ['Warner-Lambert', 'NNP']
['Plains', 'NNPS']     ['Plains', 'NNP']
['more', 'JJR']     ['more', 'RBR']
['Warner-Lambert', 'JJ']     ['Warner-Lambert', 'NNP']
['to', 'IN']     ['to', 'TO']
['about', 'IN']     ['about', 'RB']
['to', 'IN']     ['to', 'TO']
['Prescription-drug', 'JJ']     ['Prescription-drug', 'NN']
['to', 'IN']     ['to', 'TO']
['World-wide', 'NNP']     ['World-wide', 'JJ']
['Warner-Lambert', 'JJ']     ['Warner-Lambert', 'NNP']
['health-care', 'JJ']     ['health-care', 'NN']
['antacid', 'VBD']     ['antacid', 'NN']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['Confectionery', 'NNP']     ['Confectionery', 'JJ']
['Certs', 'NNPS']     ['Certs', 'NNP']
['Clorets', 'NNS']     ['Clorets', 'NNP']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['Warner-Lambert', 'JJ']     ['Warner-Lambert', 'NNP']
['up', 'RP']     ['up', 'IN']
['third-quarter', 'NN']     ['third-quarter', 'JJ']
['to', 'IN']     ['to', 'TO']
['plant-science', 'JJ']     ['plant-science', 'NN']
['received', 'VBN']     ['received', 'VBD']
['Third-quarter', 'NN']     ['Third-quarter', 'JJ']
['to', 'IN']     ['to', 'TO']
['Nine-month', 'NN']     ['Nine-month', 'JJ']
['to', 'IN']     ['to', 'TO']
['earlier', 'JJR']     ['earlier', 'RBR']
['anti-depressant', 'JJ']     ['anti-depressant', 'NN']
['increases', 'VBZ']     ['increases', 'NNS']
['plant-science', 'JJ']     ['plant-science', 'NN']
['animal-health', 'JJ']     ['animal-health', 'NN']
['Systems', 'NNPS']     ['Systems', 'NNP']
['Pacemakers', 'NNP']     ['Pacemakers', 'NNPS']
['down', 'IN']     ['down', 'RB']
['estimates', 'VBZ']     ['estimates', 'NNS']
['to', 'IN']     ['to', 'TO']
['That', 'WDT']     ['That', 'DT']
['increased', 'VBD']     ['increased', 'VBN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Results', 'NNPS']     ['Results', 'NNS']
['operating', 'NN']     ['operating', 'VBG']
['performer', 'JJ']     ['performer', 'NN']
['to', 'IN']     ['to', 'TO']
['that', 'DT']     ['that', 'WDT']
['mediocre', 'VB']     ['mediocre', 'JJ']
['Products', 'NNP']     ['Products', 'NNPS']
['done', 'VBD']     ['done', 'VBN']
['health-care', 'JJ']     ['health-care', 'NN']
['to', 'IN']     ['to', 'TO']
['franchises', 'VBZ']     ['franchises', 'NNS']
['cable-television', 'JJ']     ['cable-television', 'NN']
['executive', 'JJ']     ['executive', 'NN']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['look', 'NN']     ['look', 'VB']
['spare', 'VBP']     ['spare', 'VB']
['on', 'RP']     ['on', 'IN']
['to', 'IN']     ['to', 'TO']
['will', 'NN']     ['will', 'MD']
['thought', 'VBN']     ['thought', 'VBD']
['right', 'JJ']     ['right', 'NN']
['as', 'RB']     ['as', 'IN']
['find', 'VBP']     ['find', 'VB']
['spot', 'VBP']     ['spot', 'VB']
['been', 'VBD']     ['been', 'VBN']
['to', 'IN']     ['to', 'TO']
['Will', 'NNP']     ['Will', 'MD']
['think', 'VB']     ['think', 'VBP']
['the', 'DT']     ['the', 'IN']
['ingrained', 'VBN']     ['ingrained', 'JJ']
['both', 'PDT']     ['both', 'DT']
['Good-bye', 'NNP']     ['Good-bye', 'UH']
['such', 'PDT']     ['such', 'JJ']
['hunting', 'VBG']     ['hunting', 'NN']
['around', 'RB']     ['around', 'IN']
['most', 'JJS']     ['most', 'RBS']
['to', 'IN']     ['to', 'TO']
['one', 'NN']     ['one', 'CD']
['capitalist-exploiters-greedy-American-consumers-global', 'NNP']     ['capitalist-exploiters-greedy-American-consumers-global', 'JJ']
['more', 'RBR']     ['more', 'JJR']
['to', 'IN']     ['to', 'TO']
['base', 'NN']     ['base', 'VBP']
['to', 'IN']     ['to', 'TO']
['let', 'VBD']     ['let', 'VBP']
['that', 'WDT']     ['that', 'IN']
['over', 'RP']     ['over', 'IN']
['scour', 'VB']     ['scour', 'VBP']
['about', 'RP']     ['about', 'IN']
['adversary', 'JJ']     ['adversary', 'NN']
['rebel', 'JJ']     ['rebel', 'NN']
['to', 'IN']     ['to', 'TO']
['rages', 'NNS']     ['rages', 'VBZ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['monitoring', 'VBG']     ['monitoring', 'NN']
['more', 'RBR']     ['more', 'JJR']
['headquarters', 'NNS']     ['headquarters', 'NN']
['with', 'IN']     ['with', 'RB']
['Yet', 'CC']     ['Yet', 'RB']
['that', 'WDT']     ['that', 'IN']
['stretches', 'VBZ']     ['stretches', 'NNS']
['out', 'RP']     ['out', 'IN']
['most', 'JJS']     ['most', 'RBS']
['both', 'PDT']     ['both', 'DT']
['elite', 'JJ']     ['elite', 'NN']
['to', 'IN']     ['to', 'TO']
['rein', 'VB']     ['rein', 'NN']
['in', 'RP']     ['in', 'IN']
['cut', 'VB']     ['cut', 'NN']
['filed', 'VBD']     ['filed', 'VBN']
['to', 'IN']     ['to', 'TO']
['Panamanian', 'JJ']     ['Panamanian', 'NNP']
['Philippines', 'NNPS']     ['Philippines', 'NNP']
['Yet', 'CC']     ['Yet', 'RB']
['still', 'RB']     ['still', 'JJ']
['hope', 'VB']     ['hope', 'NN']
['along', 'RB']     ['along', 'IN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['hearing', 'VBG']     ['hearing', 'NN']
['weaknesses', 'VBZ']     ['weaknesses', 'NNS']
['that', 'IN']     ['that', 'WDT']
['to', 'IN']     ['to', 'TO']
['named', 'VBN']     ['named', 'VBD']
['reports', 'VBZ']     ['reports', 'NNS']
['fellow', 'JJ']     ['fellow', 'NN']
['to', 'IN']     ['to', 'TO']
['la', 'DT']     ['la', 'FW']
['maid', 'VBD']     ['maid', 'NN']
['mean', 'JJ']     ['mean', 'NN']
['most', 'JJS']     ['most', 'RBS']
['fellow', 'JJ']     ['fellow', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['many', 'JJ']     ['many', 'NN']
['well-off', 'NN']     ['well-off', 'JJ']
['to', 'IN']     ['to', 'TO']
['French-modeled', 'VBN']     ['French-modeled', 'JJ']
['peaked', 'JJ']     ['peaked', 'VBD']
['pressed', 'VBD']     ['pressed', 'VBN']
['French-made', 'NNP']     ['French-made', 'JJ']
['uniform', 'NNP']     ['uniform', 'NN']
['respected', 'JJ']     ['respected', 'VBN']
['gold', 'JJ']     ['gold', 'NN']
['fellow', 'JJ']     ['fellow', 'NN']
['to', 'IN']     ['to', 'TO']
['commanding', 'VBG']     ['commanding', 'NN']
['Communist', 'JJ']     ['Communist', 'NNP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['American', 'JJ']     ['American', 'NNP']
['says', 'VBZ']     ['says', 'NNS']
['to', 'IN']     ['to', 'TO']
['fellow', 'JJ']     ['fellow', 'NN']
['to', 'IN']     ['to', 'TO']
['gain', 'VB']     ['gain', 'VBP']
['A', 'NNP']     ['A', 'DT']
['aspiring', 'VBG']     ['aspiring', 'JJ']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'IN']
['human-rights', 'NNS']     ['human-rights', 'JJ']
['off', 'RP']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['counter-intelligence', 'NN']     ['counter-intelligence', 'JJ']
['to', 'IN']     ['to', 'TO']
['secret', 'JJ']     ['secret', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Americas', 'NNPS']     ['Americas', 'NNP']
['to', 'IN']     ['to', 'TO']
['socalled', 'VBD']     ['socalled', 'JJ']
['in', 'RP']     ['in', 'IN']
['secrets', 'VBZ']     ['secrets', 'NNS']
['Taiwanese', 'NNPS']     ['Taiwanese', 'JJ']
['to', 'IN']     ['to', 'TO']
['moonlighting', 'VBG']     ['moonlighting', 'NN']
['first', 'RB']     ['first', 'JJ']
['to', 'IN']     ['to', 'TO']
['on', 'RB']     ['on', 'IN']
['to', 'IN']     ['to', 'TO']
['rent-a-colonel', 'NNP']     ['rent-a-colonel', 'NN']
['to', 'IN']     ['to', 'TO']
['milk', 'VB']     ['milk', 'NN']
['States', 'NNP']     ['States', 'NNPS']
['deputy', 'JJ']     ['deputy', 'NN']
['first', 'RB']     ['first', 'JJ']
['as', 'RB']     ['as', 'IN']
['close', 'JJ']     ['close', 'RB']
['to', 'IN']     ['to', 'TO']
['dismayed', 'JJ']     ['dismayed', 'VBN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['discovered', 'VBD']     ['discovered', 'VBN']
['to', 'IN']     ['to', 'TO']
['in', 'RP']     ['in', 'IN']
['Intelligence', 'NNP']     ['Intelligence', 'NN']
['to', 'IN']     ['to', 'TO']
['worry', 'VB']     ['worry', 'NN']
['to', 'IN']     ['to', 'TO']
['troubled', 'VBN']     ['troubled', 'JJ']
['rent-a-colonel', 'NNP']     ['rent-a-colonel', 'NN']
['gun-running', 'VBG']     ['gun-running', 'JJ']
['Panamanians', 'NNPS']     ['Panamanians', 'NNS']
['to', 'IN']     ['to', 'TO']
['in', 'RP']     ['in', 'IN']
['though', 'IN']     ['though', 'RB']
['longtime', 'NN']     ['longtime', 'JJ']
['Latin', 'JJ']     ['Latin', 'NNP']
['to', 'IN']     ['to', 'TO']
['made', 'VBD']     ['made', 'VBN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['routine', 'JJ']     ['routine', 'NN']
['Due', 'IN']     ['Due', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['read', 'VBD']     ['read', 'VBP']
['along', 'RB']     ['along', 'IN']
['assistant', 'JJ']     ['assistant', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Alcohol', 'NNP']     ['Alcohol', 'NN']
['Firearms', 'NNPS']     ['Firearms', 'NNP']
['to', 'IN']     ['to', 'TO']
['find', 'VBP']     ['find', 'NN']
['States', 'NNP']     ['States', 'NNPS']
['detailed', 'JJ']     ['detailed', 'VBN']
['over', 'RP']     ['over', 'IN']
['de-facto', 'NN']     ['de-facto', 'JJ']
['to', 'IN']     ['to', 'TO']
['put', 'VBD']     ['put', 'VB']
['Sandinistas', 'NNS']     ['Sandinistas', 'NNPS']
['to', 'IN']     ['to', 'TO']
['Panamanian', 'NNP']     ['Panamanian', 'JJ']
['close', 'JJ']     ['close', 'NN']
['general', 'NN']     ['general', 'JJ']
['allowed', 'VBD']     ['allowed', 'VBN']
['up', 'RP']     ['up', 'IN']
['at', 'RB']     ['at', 'IN']
['least', 'RBS']     ['least', 'JJS']
['limited', 'VBN']     ['limited', 'JJ']
['enough', 'JJ']     ['enough', 'RB']
['served', 'VBD']     ['served', 'VBN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['then', 'RB']     ['then', 'JJ']
['record', 'VB']     ['record', 'NN']
['to', 'IN']     ['to', 'TO']
['ruling', 'VBG']     ['ruling', 'NN']
['later', 'RBR']     ['later', 'RB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Yet', 'CC']     ['Yet', 'RB']
['mounted', 'VBD']     ['mounted', 'VBN']
['finger', 'VB']     ['finger', 'NN']
['close', 'JJ']     ['close', 'NN']
['to', 'IN']     ['to', 'TO']
['while', 'IN']     ['while', 'NN']
['late', 'RB']     ['late', 'JJ']
['clean', 'VB']     ['clean', 'JJ']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['on', 'RP']     ['on', 'IN']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['down', 'RP']     ['down', 'RB']
['tarnished', 'JJ']     ['tarnished', 'VBN']
['Iran-Contra', 'JJ']     ['Iran-Contra', 'NNP']
['due', 'IN']     ['due', 'JJ']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'IN']
['any', 'DT']     ['any', 'RB']
['Lawyers', 'NNPS']     ['Lawyers', 'NNS']
['prepared', 'VBD']     ['prepared', 'VBN']
['side', 'VBP']     ['side', 'NN']
['out', 'IN']     ['out', 'RB']
['to', 'IN']     ['to', 'TO']
['but', 'IN']     ['but', 'CC']
['to', 'IN']     ['to', 'TO']
['power', 'NN']     ['power', 'VB']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['That', 'WDT']     ['That', 'DT']
['allowed', 'VBD']     ['allowed', 'VBN']
['much', 'RB']     ['much', 'JJ']
['up', 'RP']     ['up', 'VB']
['to', 'IN']     ['to', 'TO']
['slowing', 'VBG']     ['slowing', 'NN']
['expanded', 'VBD']     ['expanded', 'VBN']
['Capital', 'NN']     ['Capital', 'NNP']
['earlier', 'JJR']     ['earlier', 'RBR']
['dropped', 'VBD']     ['dropped', 'VBN']
['further', 'RB']     ['further', 'VB']
['The', 'NNP']     ['The', 'DT']
['Measures', 'NNPS']     ['Measures', 'NNS']
['manufacturing', 'VBG']     ['manufacturing', 'NN']
['Factory', 'NNP']     ['Factory', 'NN']
['Factories', 'NNPS']     ['Factories', 'NNS']
['operated', 'VBD']     ['operated', 'VBN']
['Production', 'NNP']     ['Production', 'NN']
['more', 'RBR']     ['more', 'JJR']
['to', 'IN']     ['to', 'TO']
['board', 'NNP']     ['board', 'NN']
['Lung-cancer', 'NNP']     ['Lung-cancer', 'NN']
['report', 'VB']     ['report', 'VBP']
['warning', 'VBG']     ['warning', 'NN']
['to', 'IN']     ['to', 'TO']
['date', 'NN']     ['date', 'VB']
['to', 'IN']     ['to', 'TO']
['general', 'JJ']     ['general', 'NN']
['to', 'IN']     ['to', 'TO']
['Measured', 'NNP']     ['Measured', 'VBN']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['Lung-cancer', 'NNP']     ['Lung-cancer', 'NN']
['over', 'RP']     ['over', 'IN']
['However', 'WRB']     ['However', 'RB']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['affect', 'VB']     ['affect', 'NN']
['says', 'VBZ']     ['says', 'NNS']
['Smoking', 'NN']     ['Smoking', 'NNP']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['that', 'IN']     ['that', 'DT']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['advertising', 'NN']     ['advertising', 'VBG']
['boost', 'NN']     ['boost', 'VB']
['to', 'IN']     ['to', 'TO']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['to', 'IN']     ['to', 'TO']
['currently', 'RB']     ['currently', 'JJ']
['smoke', 'VBP']     ['smoke', 'NN']
['up', 'RP']     ['up', 'IN']
['Asians', 'NNPS']     ['Asians', 'NNS']
['lung-cancer', 'JJ']     ['lung-cancer', 'NN']
['Black', 'JJ']     ['Black', 'NNP']
['Males', 'NNS']     ['Males', 'NNPS']
['Black', 'JJ']     ['Black', 'NNP']
['currently', 'RB']     ['currently', 'JJ']
['purchasing', 'NN']     ['purchasing', 'VBG']
['staff', 'NN']     ['staff', 'VBP']
['over-the-counter', 'NN']     ['over-the-counter', 'JJ']
['brief', 'NN']     ['brief', 'JJ']
['profit-driven', 'JJ']     ['profit-driven', 'CD']
['trading', 'VBG']     ['trading', 'NN']
['composite', 'NN']     ['composite', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['lost', 'VBN']     ['lost', 'VBD']
['up', 'RB']     ['up', 'IN']
['settled', 'VBN']     ['settled', 'VBD']
['off', 'RB']     ['off', 'IN']
['most', 'JJS']     ['most', 'RBS']
['to', 'IN']     ['to', 'TO']
['trading', 'VBG']     ['trading', 'NN']
['up', 'RP']     ['up', 'IN']
['up', 'RP']     ['up', 'IN']
['down', 'RP']     ['down', 'RB']
['down', 'RP']     ['down', 'RB']
['confused', 'VBD']     ['confused', 'VBN']
['one', 'NN']     ['one', 'CD']
['longer', 'RBR']     ['longer', 'RB']
['confused', 'JJ']     ['confused', 'VBN']
['Sons', 'NNPS']     ['Sons', 'NNP']
['unsettled', 'VBD']     ['unsettled', 'JJ']
['Program', 'NNP']     ['Program', 'NN']
['to', 'IN']     ['to', 'TO']
['cooled', 'VBD']     ['cooled', 'VBN']
['off', 'RP']     ['off', 'IN']
['sizzling', 'VBG']     ['sizzling', 'JJ']
['to', 'IN']     ['to', 'TO']
['traded', 'VBN']     ['traded', 'VBD']
['jarring', 'JJ']     ['jarring', 'VBG']
['anti-anemia', 'JJ']     ['anti-anemia', 'NN']
['lower', 'RBR']     ['lower', 'JJR']
['ended', 'VBD']     ['ended', 'VBN']
['to', 'IN']     ['to', 'TO']
['reported', 'VBN']     ['reported', 'VBD']
['ending', 'NN']     ['ending', 'VBG']
['That', 'WDT']     ['That', 'DT']
['to', 'IN']     ['to', 'TO']
['been', 'VBD']     ['been', 'VBN']
['said', 'VBN']     ['said', 'VBD']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['telecommunications', 'NN']     ['telecommunications', 'NNS']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Brands', 'NNPS']     ['Brands', 'NNP']
['to', 'IN']     ['to', 'TO']
['thirdquarter', 'NN']     ['thirdquarter', 'JJ']
['to', 'IN']     ['to', 'TO']
['Associates', 'NNP']     ['Associates', 'NNPS']
['to', 'IN']     ['to', 'TO']
['ended', 'VBD']     ['ended', 'VBN']
['operating', 'NN']     ['operating', 'VBG']
['on', 'RP']     ['on', 'IN']
['chief', 'JJ']     ['chief', 'NN']
['launched', 'VBD']     ['launched', 'VBN']
['daily', 'RB']     ['daily', 'JJ']
['executive', 'JJ']     ['executive', 'NN']
['to', 'IN']     ['to', 'TO']
['limited', 'VBN']     ['limited', 'JJ']
['Journalists', 'NNPS']     ['Journalists', 'NNS']
['Others', 'NNPS']     ['Others', 'NNS']
['made', 'VBN']     ['made', 'VBD']
['cast-iron', 'JJ']     ['cast-iron', 'NN']
['water-treatment', 'JJ']     ['water-treatment', 'NN']
['to', 'IN']     ['to', 'TO']
['eliminated', 'VBD']     ['eliminated', 'VBN']
['improved', 'VBD']     ['improved', 'VBN']
['well-being', 'JJ']     ['well-being', 'NN']
['Most', 'RBS']     ['Most', 'JJS']
['in', 'RP']     ['in', 'IN']
['that', 'IN']     ['that', 'WDT']
['advanced', 'VBN']     ['advanced', 'VBD']
['Writing', 'NNP']     ['Writing', 'VBG']
['that', 'IN']     ['that', 'DT']
['many', 'JJ']     ['many', 'RB']
['before', 'RB']     ['before', 'IN']
['acid', 'JJ']     ['acid', 'NN']
['Environmentalists', 'NNPS']     ['Environmentalists', 'NNS']
['opposed', 'VBD']     ['opposed', 'VBN']
['Environmentalists', 'NNPS']     ['Environmentalists', 'NNS']
['Environmentalists', 'NNPS']     ['Environmentalists', 'NNS']
['oppose', 'VBP']     ['oppose', 'VB']
['Let', 'MD']     ['Let', 'VB']
['First', 'RB']     ['First', 'NNP']
['foremost', 'RB']     ['foremost', 'JJ']
['change', 'VB']     ['change', 'NN']
['offing', 'VBG']     ['offing', 'NN']
['intended', 'VBN']     ['intended', 'VBD']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['harder', 'RBR']     ['harder', 'JJR']
['that', 'WDT']     ['that', 'IN']
['destabilizing', 'JJ']     ['destabilizing', 'VBG']
['to', 'IN']     ['to', 'TO']
['No', 'UH']     ['No', 'DT']
['Affairs', 'NNPS']     ['Affairs', 'NNP']
['Enterprises', 'NNP']     ['Enterprises', 'NNPS']
['Stung', 'NNP']     ['Stung', 'VBN']
['giant', 'JJ']     ['giant', 'NN']
['bottling', 'VBG']     ['bottling', 'NN']
['to', 'IN']     ['to', 'TO']
['much', 'RB']     ['much', 'JJ']
['Enterprises', 'NNP']     ['Enterprises', 'NNPS']
['sticks', 'VBZ']     ['sticks', 'NNS']
['Third-quarter', 'NN']     ['Third-quarter', 'JJ']
['year-ago', 'NNP']     ['year-ago', 'JJ']
['that', 'IN']     ['that', 'DT']
['bottling', 'VBG']     ['bottling', 'NN']
['Enterprises', 'NNP']     ['Enterprises', 'NNPS']
['to', 'IN']     ['to', 'TO']
['soft-drink', 'JJ']     ['soft-drink', 'NN']
['third-quarter', 'NN']     ['third-quarter', 'JJ']
['soft-drink', 'JJ']     ['soft-drink', 'NN']
['about', 'RB']     ['about', 'IN']
['to', 'IN']     ['to', 'TO']
['spending', 'VBG']     ['spending', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['out', 'RB']     ['out', 'IN']
['up', 'RP']     ['up', 'IN']
['Enterprises', 'NNP']     ['Enterprises', 'NNPS']
['to', 'IN']     ['to', 'TO']
['repurchase', 'JJ']     ['repurchase', 'NN']
['N.Y.-based', 'CD']     ['N.Y.-based', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['year-ago', 'CC']     ['year-ago', 'JJ']
['down', 'IN']     ['down', 'RB']
['up', 'RP']     ['up', 'IN']
['Jewelers', 'NNPS']     ['Jewelers', 'NNP']
['to', 'IN']     ['to', 'TO']
['say', 'VB']     ['say', 'VBP']
['filed', 'VBD']     ['filed', 'VBN']
['financial-services', 'JJ']     ['financial-services', 'NNS']
['much', 'JJ']     ['much', 'NN']
['leveraged', 'VBN']     ['leveraged', 'JJ']
['to', 'IN']     ['to', 'TO']
['department-store', 'JJ']     ['department-store', 'NN']
['to', 'IN']     ['to', 'TO']
['buy-out', 'JJ']     ['buy-out', 'NN']
['familiar', 'JJ']     ['familiar', 'NN']
['ended', 'VBD']     ['ended', 'VBN']
['operating', 'NN']     ['operating', 'VBG']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['familiar', 'JJ']     ['familiar', 'NN']
['Jewelers', 'NNPS']     ['Jewelers', 'NNP']
['split', 'VBD']     ['split', 'NN']
['subject', 'JJ']     ['subject', 'NN']
['to', 'IN']     ['to', 'TO']
['real-estate', 'JJ']     ['real-estate', 'NN']
['A', 'DT']     ['A', 'NNP']
['vitreous-china', 'JJ']     ['vitreous-china', 'NN']
['animated', 'VBN']     ['animated', 'JJ']
['prime-time', 'NN']     ['prime-time', 'JJ']
['set', 'NN']     ['set', 'VBN']
['shows', 'NNS']     ['shows', 'VBZ']
['talk', 'NN']     ['talk', 'VB']
['president', 'NN']     ['president', 'NNP']
['mid-season', 'NNP']     ['mid-season', 'NN']
['to', 'IN']     ['to', 'TO']
['shows', 'NNS']     ['shows', 'VBZ']
['line-up', 'VBD']     ['line-up', 'NN']
['total', 'NN']     ['total', 'JJ']
['Spokesmen', 'NNP']     ['Spokesmen', 'NNS']
['line-up', 'VBN']     ['line-up', 'NN']
['longer', 'RBR']     ['longer', 'RB']
['to', 'IN']     ['to', 'TO']
['outside', 'RB']     ['outside', 'IN']
['half-hour', 'JJ']     ['half-hour', 'NN']
['The', 'NNP']     ['The', 'DT']
['Animated', 'VBN']     ['Animated', 'JJ']
['outside', 'JJ']     ['outside', 'IN']
['cost', 'VBP']     ['cost', 'NN']
['about', 'IN']     ['about', 'RB']
['skidded', 'VBN']     ['skidded', 'VBD']
['to', 'IN']     ['to', 'TO']
['year-earlier', 'JJR']     ['year-earlier', 'JJ']
['up', 'RB']     ['up', 'IN']
['ago', 'IN']     ['ago', 'RB']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['down', 'IN']     ['down', 'RB']
['A', 'DT']     ['A', 'NNP']
['Deaths', 'NNS']     ['Deaths', 'NNP']
['Advanced', 'JJ']     ['Advanced', 'NNP']
['Colon', 'NN']     ['Colon', 'NNP']
['Cancer', 'NN']     ['Cancer', 'NNP']
['Reduced', 'VBN']     ['Reduced', 'NNP']
['said', 'VBN']     ['said', 'VBD']
